,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Response 1,Response 2
Run,A:conv_filter,B:conv_kernel,C:conv_stride,D:pool_size,E:pool_stride,F:conv_activation,G:pool_type,accuracy,loss
,,,,,,,,percent,percent
1,10,2,1,10,8,Sigmoid,Relu,,
2,66,10,1,7,1,Relu,Relu,,
3,80,10,7,4,3,Sigmoid,Tanh,,
4,80,2,2,3,3,Sigmoid,Sigmoid,,
5,52,6,4,7,3,Tanh,Sigmoid,,
6,80,10,1,5,1,Tanh,Tanh,,
7,66,10,8,9,8,Tanh,Tanh,,
8,10,3,2,10,1,Relu,Relu,,
9,38,10,4,2,1,Sigmoid,Sigmoid,,
10,38,10,5,10,1,Tanh,Relu,,
11,38,10,10,8,8,Sigmoid,Relu,,
12,10,10,1,10,10,Tanh,Sigmoid,,
13,80,10,10,10,1,Sigmoid,Sigmoid,,
14,10,7,5,8,7,Sigmoid,Sigmoid,,
15,66,7,1,10,4,Sigmoid,Sigmoid,,
16,80,9,3,5,5,Relu,Sigmoid,,
17,10,10,1,10,1,Sigmoid,Relu,,
18,10,10,3,5,5,Tanh,Relu,,
19,38,8,3,10,10,Relu,Relu,,
20,10,2,1,5,1,Tanh,Relu,,
21,80,3,3,10,1,Tanh,Tanh,,
22,80,5,5,10,10,Sigmoid,Tanh,,
23,10,10,7,3,1,Relu,Relu,,
24,80,4,1,9,9,Tanh,Relu,,
25,10,10,9,10,10,Sigmoid,Tanh,,
26,24,3,1,7,1,Sigmoid,Tanh,,
27,38,3,1,2,2,Tanh,Tanh,,
28,10,10,1,2,2,Relu,Tanh,,
29,66,7,1,4,4,Sigmoid,Relu,,
30,80,10,4,10,1,Relu,Tanh,,
31,66,5,5,8,1,Sigmoid,Relu,,
32,80,8,8,2,1,Tanh,Relu,,
33,24,9,9,4,4,Relu,Sigmoid,,
34,10,4,4,2,2,Sigmoid,Tanh,,
35,80,2,2,6,6,Relu,Relu,,
36,38,8,8,10,4,Sigmoid,Tanh,,
37,80,10,10,10,4,Relu,Relu,,
38,80,10,4,10,8,Sigmoid,Relu,,
39,66,6,6,5,1,Relu,Tanh,,
40,10,3,3,8,8,Relu,Tanh,,
41,10,5,1,3,1,Relu,Sigmoid,,
42,10,7,1,10,6,Tanh,Tanh,,
43,38,10,1,9,9,Sigmoid,Tanh,,
44,66,2,2,10,9,Relu,Sigmoid,,
45,24,10,4,9,3,Relu,Sigmoid,,
46,10,8,8,10,9,Tanh,Relu,,
47,10,10,10,5,1,Tanh,Tanh,,
48,80,4,1,10,7,Relu,Tanh,,
49,10,2,2,10,1,Sigmoid,Sigmoid,,
